season,episode,transcript,num_words
1,1,There's nothing to tell! He's just some guy I work with!,11
1,1,"C'mon, you're going out with the guy! There's gotta be something wrong with him!",14
1,1,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?",16
1,1,"Wait, does he eat chalk?",5
1,1,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",16
1,1,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",21
1,1,Sounds like a date to me.,6
1,1,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",22
1,1,"Oh, yeah. Had that dream.",5
1,1,"Then I look down, and I realize there's a phone... there.",11
1,1,Instead of...?,2
1,1,That's right.,2
1,1,Never had that dream.,4
1,1,No.,1
1,1,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",21
1,1,And they weren't looking at you before?!,7
1,1,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",23
1,1,Hi.,1
1,1,"This guy says hello, I wanna kill myself.",8
1,1,"Are you okay, sweetie?",4
1,1,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",25
1,1,Cookie?,1
1,1,Carol moved her stuff out today.,6
1,1,Ohh.,1
1,1,Let me get you some coffee.,6
1,1,Thanks.,1
1,1,Ooh! Oh!,2
1,1,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",14
1,1,Fine! Be murky!,3
1,1,"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",12
1,1,No you don't.,3
1,1,"No I don't, to hell with her, she left me!",10
1,1,And you never knew she was a lesbian...,8
1,1,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",16
1,1,Sometimes I wish I was a lesbian... Did I say that out loud?,13
1,1,"I told mom and dad last night, they seemed to take it pretty well.",14
1,1,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?",29
1,1,Sorry.,1
1,1,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",23
1,1,"Strip joint! C'mon, you're single! Have some hormones!",8
1,1,"I don't want to be single, okay? I just... I just- I just wanna be married again!",17
1,1,And I just want a million dollars!,7
1,1,Rachel?!,1
1,1,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",34
1,1,Can I get you some coffee?,6
1,1,"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",26
1,1,"Hi, sure!",2
1,1,Hi.,1
1,1,"So you wanna tell us now, or are we waiting for four wet bridesmaids?",14
1,1,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",149
1,1,Who wasn't invited to the wedding.,6
1,1,"Ooh, I was kinda hoping that wouldn't be an issue...",10
1,1,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",18
1,1,Tuna or egg salad? Decide!,5
1,1,I'll have whatever Christine is having.,6
1,1,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",19
1,1,"If I let go of my hair, my head will fall off.",12
1,1,"Ooh, she should not be wearing those pants.",8
1,1,I say push her down the stairs.,7
1,1,Push her down the stairs! Push her down the stairs! Push her down the stairs!,15
1,1,Push her down the stairs! Push her down the stairs! Push her down the stairs!,15
1,1,Push her down the stairs! Push her down the stairs! Push her down the stairs!,15
1,1,Push her down the stairs! Push her down the stairs! Push her down the stairs!,15
1,1,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",82
1,1,You can see where he'd have trouble.,7
1,1,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",13
1,1,"Well, I guess we've established who's staying here with Monica...",10
1,1,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",17
1,1,"Just breathe, breathe.. that's it. Just try to think of nice calm things...",13
1,1,"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...",26
1,1,I'm all better now.,4
1,1,I helped!,2
1,1,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.",19
1,1,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",23
1,1,"Joey, stop hitting on her! It's her wedding day!",9
1,1,"What, like there's a rule or something?",7
1,1,"Please don't do that again, it's a horrible sound.",9
1,1,"It's, uh, it's Paul.",4
1,1,"Oh God, is it 6:30? Buzz him in!",8
